term,pos,comment,de
DuckDuckGo,Noun,Name of an open source search engine.,
Dump,Noun,,
Dump,Verb,,
EPUB Reader,Noun,,ePub-Leser
Eavesdropping,Noun,,
Edge,Noun,,
Edge server,Noun,,
Email Subject,Noun,[Globaleaks],E-Mail Betreff
Encrypted,Verb,[Globaleaks],verschlüsselt
Ensure,Verb,,
Enter,,,
Event,Noun,,
External drive,Noun,,
Extra text,Noun,,
FAI satellite,Noun,,
FAQ,Noun,[Orbot] “Frequently Asked Questions”,F&A
FOSS,Noun,Free and open-source software,
FTP (File Transfer Protocol),Noun,"An old method for copying files from a local computer to a remote one, or vice versa. The job of FTP programs (and the FTP servers that stored the files) have mostly been replaced by web browsers and web servers, or file synchronising programs like Dropbox.
Synonyms: FTP server, File Transfer Protocol. (Source: EFF)",
FTP server,Noun,"An old method for copying files from a local computer to a remote one, or vice versa. The job of FTP programs (and the FTP servers that stored the files) have mostly been replaced by web browsers and web servers, or file synchronising programs like Dropbox. (Synonyms: FTP server, File Transfer Protocol) (Source EFF)",
Face ID,Noun,[Signal] Specific to iOS,
Fallback,Adjective,[Globaleaks],
Fallback,Noun,[Orbot] [Globaleaks],Rückfall / Rückfallmodus
Favicon,Noun,"A favicon, also known as a shortcut icon, website icon, tab icon, URL icon, or bookmark icon, is a file containing one or more small icons, associated with a particular website or web page.",
Feedback,Noun,,
File fingerprint,Noun,"A sequence or letters or numbers that represent the contents of a file. Changing the file even a tiny bit will completely change its fingerprint. Checking the fingerprint of a file that you've downloaded, such as a software application or extension, helps to make sure that you got the same file that other people have, and that nobody has tampered with it while it was being downloaded.
Synonyms: file hash value.
Source EFF.",
File hash value,Noun,"A sequence or letters or numbers that represent the contents of a file. Changing the file even a tiny bit will completely change its fingerprint. Checking the fingerprint of a file that you've downloaded, such as a software application or extension, helps to make sure that you got the same file that other people have, and that nobody has tampered with it while it was being downloaded.
Synonyms: File fingerprint.
Source EFF.",
File system,Noun,"Where data is stored, usually locally, on your computer or other device. File systems are usually where personal documents and notes are stored for easy access.
Source EFF.",
Firefox,Noun,,
Firewall,Noun,"A tool that protects a computer from unwanted connections to or from local networks and the Internet. A firewall might have rules that forbid outgoing email, or connections to certain websites. Firewalls can be used as a first line of defense to protect a device from unexpected interference. Or they can be used to prevent users from using the Internet in certain ways. (Source: EFF)",Firewall
FirewallVM,Noun,"[Qubes] ""Firewall Virtual Machine""A type of ProxyVM which is used to enforce network-level policies (a.k.a. ""firewall rules"").",
Firewalled,Adjective,,
Firmware,Noun,,
Fit,,,
Folder Options,Noun,,Ordneroptionen
Form,Noun,,Eingabemaske
Form 990,,,
Forward Secrecy,Noun,"A property of a secure messaging system which ensures that your past communications can remain secure even if one of the private keys is stolen later. For HTTPS websites, forward secrecy is an important protection against adversaries like intelligence agencies which may record large amounts of traffic and use a stolen key to decrypt it. For  messaging and chat systems, forward secrecy is necessary to ensure that deleted messages are really deleted, but you will also need to either disable logging or securely delete past messages.
Synonyms: Perfect forward secrecy.
Source EFF.",
Frequently Asked Questions,Noun,“FAQ”,
Full disk encryption,Noun,"If you're planning on securing data on your local device, you could choose to just encrypt a few key files, or you could encrypt everything on the computer. “Full disk encryption” is the term for encrypting everything. It's usually safer (and often easier) to use full disk encryption than to manage just a few individually encrypted files. If you try to encrypt just individual files, your computer might make temporary unencrypted copies of those files without you noticing. And some software might keep some unencrypted records about your use of your computer. Apple's OS X, Linux and high-end versions of Windows all have built-in full disk encryption, but it is usually not turned on by default.
Source EFF.",
Fully Qualified Domain Name,Noun,See https://en.wikipedia.org/wiki/Fully_qualified_domain_name,
Functionality,Noun,,
GC,Noun,Garbage collector,
GDPR,Noun,"Synonym: GDPR
https://ec.europa.eu/commission/priorities/justice-and-fundamental-rights/data-protection/2018-reform-eu-data-protection-rules_en",
GFW,Noun,,
GIF,Noun,Graphics Interchange Format [Signal],
GNU General Public License,Noun,,
GPG,Noun,"""Gnu Privacy Guard"" GPG is a free software that implements OpenPGP specification",
Garbage data,Noun,,
Garlic,Noun,https://en.wikipedia.org/wiki/Garlic_routing,
Garlic routing,Noun,https://en.wikipedia.org/wiki/Garlic_routing,
General Data Protection Regulation,Noun,"Synonym: GDPR
https://ec.europa.eu/commission/priorities/justice-and-fundamental-rights/data-protection/2018-reform-eu-data-protection-rules_en",
Get,,,
Get Access Mode,Noun,[Lantern],Zugang-erhalten-Modus
GetTor,Noun,[Orbot] [Tor],
Getting Started,Noun,,
Ghost,Noun,"[Peerio] ""Ghost"" is used as a proper noun in Peerio for a feature that allows users to send messages and files to a non-Peerio user via email or URL. This URL can be accessed with a secret passphrase and decrypted in the browser.

""I sent you a (Peerio) Ghost""",
Giant Rabbit,,,
Give Access Mode,Noun,[Lantern],Zugang-geben-Modus
GlobaLeaks,Noun,[Globaleaks] Name of application. Do not translate.,
Glossary,Noun,,
Go Back,Verb,,
Google,Verb,Company Name (Reference Google.com for appropriate transcription if applicable),
Google Captcha,Noun,,
Google Chrome,Noun,,
Google Drive,Noun,,
Google Play Store,Noun,[Signal],
Got Skills,,,
Graceful Shutdown,Noun,[I2P],
Gracefully,Adverb,,
Graph,Noun,,
Graph,Verb,,
Great Firewall of China,Noun,,
Grid,Noun,,
Guardian Project,Noun,,
HQ,Noun,,
HRD,Noun,Human Rights Defence,
HTTP,Noun,"[Orbot] ""The Hypertext Transfer Protocol (HTTP) is an application protocol for distributed, collaborative, and hypermedia information systems. HTTP is the foundation of data communication for the World Wide Web."" - Wikipedia (https://en.wikipedia.org/wiki/Hypertext_Transfer_Protocol)",
HTTP Header Field Manipulation,Noun,,
HTTP Invalid Request Line,Noun,,
HTTPS,Noun,"""HTTPS (also called HTTP over Transport Layer Security [TLS], HTTP over SSL, and HTTP Secure) is a communications protocol for secure communication over a computer network which is widely used on the Internet. HTTPS consists of communication over Hypertext Transfer Protocol (HTTP) within a connection encrypted by Transport Layer Security, or its predecessor, Secure Sockets Layer. The main motivation for HTTPS is authentication of the visited website and protection of the privacy and integrity of the exchanged data."" - Wikipedia (https://en.wikipedia.org/wiki/HTTPS)",
HTTPS Everywhere,Noun,,HTTPS Everywhere
HTTPS certificate,Noun,,HTTPS-Zertifikat
HVM,Noun,"[Qubes] ""Hardware Virtual Machine""Any fully virtualized, or hardware-assisted, VM utilizing the virtualization extensions of the host CPU.",
Hardcoded,Verb,,
Hardware,Noun,,Hardware
Headline,Noun,,
Heart of Internet Freedom,,,
Heart of Internet Freedom T-Shirt,,,
Heartbeat,Noun,,
Help,Noun,[Orbot],
Hidden,Adjective,,
Hidden Service,Noun,[Orbot],Versteckter Dienst
Homepage,Noun,[Globaleaks],Homepage
Hop,Noun,,
Hosting provider,Noun,,
Hotspot,Noun,,
Housekeeping,Noun,,
I/O,Noun,Input/ouput,
I2P,Noun,[I2P] Name of application. Do not translate.,I2P
ID,Noun,[Mailvelope],ID
IDE,Noun,,
IMAP settings,Noun,"IMAP is the way that many email programs communicate with services that send, receive and store your email. By changing the IMAP settings on your email program, you can choose to load email from different servers or set the level of security and encryption used to transfer the mail across the Internet to you.
Source EFF.",
IP address,Noun,"[Orbot] A device on the Internet needs its own address to receive data, just like a home or business needs a street address to receive physical mail. This address is its IP (Internet Protocol) address. When you connect to a web site or other server online, you usually reveal your own IP address. This doesn't necessarily reveal either your identity (it's hard to map an IP address to a real address or a particular computer). An IP address can give away some information about you, however, such as your rough location or the name of your Internet Service Provider. Services like Tor let you hide your IP address, which helps give you anonymity online. (Source EFF)",IP-Adresse
IP addresses,Noun,,
ISP (Internet Service Provider),Noun,ISP,Internetdienstanbieter
Immediate,Adjective,,
Implement,Verb,,
Inbound,Adjective,,
Include Private Data,Verb,,
Indicators of compromise,Noun,"Clues that show that your device may have been broken into or tampered with.
Source EFF.",
Intermediate Certificate,Noun,,
Internal storage,Noun,"Non volatile memory used in devices, mobile or else.",
Internet,Noun,[Signal],Internet
Internet filtering,Noun,Filtering is the politer term for blocking or censoring Internet traffic. (Synonyms: blocking) (Source: EFF),
Introduce,Verb,,
Introducer,Noun,,
Introduction,Noun,,
Invalid,,,
Item,Noun,,
JRE,Noun,Synonym: Java Runtime Environment,
JS,Noun,,
Java Runtime Environment,Noun,Synonyme : JRE,
Javascript,,,
Javascript,Noun,,
Join,Verb,,
Journalists,,,
KB,Noun,[Orbot] kilobyte,
KB/s,Noun,,
"KB/s, Kbps",Noun,,
KBps,Noun,,
"Kbps, KB/s",Noun,[Orbot] kilobytes per second,
Key Backup,Noun,[Martus],Schlüsselsicherung
Key Exchange,Noun,,
Key fingerprint,Noun,"A sequence of letters or numbers that represent a public key. Some privacy tools let you check the match between someone's key fingerprint as seen by your device and by their device. The purpose of this check is to prevent a man-in-the-middle attack, where someone tricks you into using the wrong key.
Source EFF.",
Key verification,Noun,"In public key cryptography, each person has a set of keys. To send a message securely to a particular person, you encrypt your message using their public key. An attacker may be able to trick you into using their key, which means that they will be able to read your message, instead of the intended recipient. That means that you have to verify that a key is being used by a particular person. Key verification is any way that lets you match a key to a person.
Source EFF.",
Key-signing party,Noun,"When you're using public key encryption, it's important to be sure that the key you use to encrypt a message really belongs to the recipient (see key verification). PGP makes this a little easier by having a way to tell others ""I believe this key belongs to this person -- and if you trust me, you should believe that too."" Telling the world that you trust someone's key is called ""signing their key"": it means anyone who uses that key can see you vouched for it. To encourage everyone to check and sign each others keys, PGP users organize key-signing parties. They're almost, but not quite, as exciting as they sound.
Analogy: It's like a networking party, where you introduce your friends to other friends.
Synonyms: cryptoparty.
Source EFF.",
Keyboard,Noun,[Signal],Tastatur
Keyboard Layout,Noun,,Tastaturbelegung
Keylogger,Noun,"A malicious program or device that records everything you type into a device, including passwords and other personal details, allowing others to secretly collect that information. (The ""key"" in keylogger refers to the keys you have on your keyboard.) Keyloggers are often malware that users have been tricked into downloading and running, or occasionally physical hardware secretly plugged into a keyboard or device.
Source EFF.",
Language pack,Noun,,Sprachpaket
Lantern,Noun,[Lantern] Application Name (https://getlantern.org),
Lantern Cloud Server,Noun,[Lantern] “Lantern” is the name of an application. (https://getlantern.org),Lantern-Cloud-Server
Last Name,,,
Launcher,Noun,,Starter
Leak,Noun,Synonym: data leakage,Leck
Lease,Noun,,
Leaseset,Noun,,
Let's Encrypt,Noun,Don't translate this. For more info see https://en.wikipedia.org/wiki/Let%27s_Encrypt,
License Agreement,Noun,[Globaleaks],
Linked Identity,Noun,,
List,Noun,,
Listen,Verb,,
Live CD,Noun,,
Live ISO,Noun,,
Live OS,Noun,,
Live System,Noun,,
Live USB,Noun,,
Login page,Noun,,
MB,Noun,[Orbot] megabyte,
MBR,Noun,,
MIME,Noun,[Signal],
MISP (Malware Information Sharing Platform),Noun,"[SES] ""The MISP threat sharing platform is a free and open source software helping information sharing of threat intelligence including cyber security indicators.
A threat intelligence platform for gathering, sharing, storing and correlating Indicators of Compromise of targeted attacks, threat intelligence, financial fraud information, vulnerability information or even counter-terrorism information."" -http://www.misp-project.org/",
MITM,Noun,"Suppose you believe you were speaking to your friend, Bahram, via encrypted  messenger. To check it's really him, you ask him to tell you the city where you first met. ""Istanbul"" comes the reply. That's correct! Unfortunately, without you or Bahram knowing, someone else online has been intercepting all your communications. When you first connected to Bahram, you actually connected to this person, and she, in turn, connected to Bahram. When you think you are asking Bahram a question, she receives your message, relays the question to Bahram, receives his answer back , and then sends it to you. Even though you think you are communicating securely with Bahram, you are, in fact, only communicating securely with the spy, who is also communicating securely to Bahram! This is the man-in-the-middle attack. Men-in-the-middle can spy on communications or even insert false or misleading messages into your communications. Security-focused internet communications software needs to defend against the man-in-the-middle attack to be safe against attackers who have control of any part of the Internet between two communicators.
Synonyms: Man-in-the-middle attack.
Source EFF.",
MM,Noun,,
MMS,Noun,“Multimedia Messaging Service (MMS) is a standard way to send messages that include multimedia content to and from a mobile phone over a cellular network.” https://en.wikipedia.org/wiki/Multimedia_Messaging_Service [Signal],
MMSC,Noun,Multimedia Messaging Service Center. A mobile network operator's store and forward server for relaying MMS (Multimedia Messaging Service) messages. [Signal],
Magic Word,Noun,,Magisches Wort
Mail routes,Noun,,
Maintainer,Noun,,Hauptbetreuer
Malformed,Adjective,,
Malicious,Adjective,,
Malicious software,Noun,"Malware is short for malicious software: programs that are designed to conduct unwanted actions on your device. Computer viruses are malware. So are programs that steal passwords, secretly record you, or delete your data.
Synonyms: Malware.
Source EFF.",
Malware,Noun,"Malware is short for malicious software: programs that are designed to conduct unwanted actions on your device. Computer viruses are malware. So are programs that steal passwords, secretly record you, or delete your data.
Synonyms: Malicious software
Source EFF.",Schadprogramm
Man-in-the-middle attack,Noun,"Suppose you believe you were speaking to your friend, Bahram, via encrypted  messenger. To check it's really him, you ask him to tell you the city where you first met. ""Istanbul"" comes the reply. That's correct! Unfortunately, without you or Bahram knowing, someone else online has been intercepting all your communications. When you first connected to Bahram, you actually connected to this person, and she, in turn, connected to Bahram. When you think you are asking Bahram a question, she receives your message, relays the question to Bahram, receives his answer back , and then sends it to you. Even though you think you are communicating securely with Bahram, you are, in fact, only communicating securely with the spy, who is also communicating securely to Bahram! This is the man-in-the-middle attack. Men-in-the-middle can spy on communications or even insert false or misleading messages into your communications. Security-focused internet communications software needs to defend against the man-in-the-middle attack to be safe against attackers who have control of any part of the Internet between two communicators.
Synonyms: MITM
Source EFF.",
Manage Contacts,Noun,[Martus] Martus menu option.,Kontakte verwalten
Martus Desktop,Noun,[Martus],
Martus Desktop Application,Noun,[Martus],
Martus Information Management and Data Collection Framework,Noun,[Martus],
Martus Record Archive (*mba),Noun,[Martus],Martus-Datensatzarchiv (*mba)
Martus Report Format (.mrf),Noun,[Martus],Martus-Berichtsformat (.mrf)
Martus Search Specification,Noun,[Martus],
"Master Boot Record, MBR",Noun,,
Master password,Noun,"A password used to unlock a store of other passwords or other ways to unlock programs or messages. You should make a master password as strong as you can.
Source EFF.",
Match,,,
Matching,Adjective,[Globaleaks],übereinstimmen
Matching Conditions,,,
Megabytes,Noun,[Globaleaks],
Message Format,Noun,,
Message Of The Day,Noun,,
Mixnet,Noun,,
Mobile Martus,Noun,[Martus],
Multihome,Noun,,
Multihoming,Noun,,
My Computer,Noun,The user’s home folder in some operating systems.,Mein Rechner
NAT,Noun,Network Address Translation,
NGO,Noun,Non-Governmental Organization,
NGOs,,,
NSA,,,
Name,Noun,,
Naming service,Noun,,
Navegador Tor,Noun,,
NetDB,Noun,network database,
NetVM,Noun,"""Network Virtual Machine""A type of VM which connects directly to a network and provides access to that network to other VMs which connect to the NetVM.",
Network database,Noun,,
Network drive,Noun,,
New,Adjective,,Neue
Newsletter,Noun,,Infobrief
Next,Noun,“Next” button,
No,Noun,,
Node,Noun,,Knotenpunkt
Non-Tor,Noun,,
Notes,,,
OK,Noun,[Signal] “OK” button which can also be translated as “Accept”,
OPML,Noun,"Outline Processor Markup Language

""OPML (Outline Processor Markup Language) is an XML format for outlines (defined as ""a tree, where each node contains a set of named attributes with string values""). Originally developed by UserLand as a native file format for the outliner application in its Radio UserLand product, it has since been adopted for other uses, the most common being to exchange lists of web feeds between web feed aggregators.""
- https://en.wikipedia.org/wiki/Opml",
OS,Noun,Operating system,
OTR,Noun,Off The Record,OTR
Observatory,Noun,,Beobachtungsstelle
Off,Adjective,,Aus
Off-the-Record,Noun,"[Orbot] Messaging systems are often unencrypted. OTR is a way of adding encryption to them, so that you can keep using familiar networks like Facebook chat, Google Chat or Hangouts but with your messages more resistant to surveillance. The OTR cryptographic protocol provides strong encryption for  messaging conversations. (Synonyms : OTR) (Source EFF)",
Oil pipeline,Noun,,
On,Adjective,,
One-time password,Noun,"Passwords are usually semi-permanent: once you set them up, you can keep using them until you manually change or reset them. One-time passwords only work once. Some one-time password systems work by having a tool or program that can create many different one-time passwords, that you use in turn. This is useful if you're afraid that there may be a key-logger on a system where you have to type in a password.
Source EFF.",
Onion,Noun,[Tor],
Onion Address,Noun,[Tor],
Onion Browser,Noun,[Tor],
Onion Circuits,Noun,[Tor],
Onion routing,Noun,[Tor],
Open Observatory of Network Interference,,,
Open Observatory of Network Interference (OONI) ,,,
Open Observvatory of Network Interference (OONI),,,
Open Source,,,
Open Whisper Systems,Noun,Organization name. Do not translate. [Signal],
Open-source software,Noun,"Open source software, or free software, is software that can be distributed freely in a form that lets others modify it and rebuild it from scratch. While it is known as “free software,"" it's not necessarily free as in zero-cost: FLOSS programmers can ask for donations, or charge for support or for copies. Linux is an example of a free, open source program, as are Firefox and Tor.
Synonyms: FLOSS, free, libre and open-source software, free software
Source EFF.",
OpenPGP,Noun,OpenPGP is a open specification and standard that implements PGP (Pretty Good Privacy),
OpenPGP key,Noun,,OpenPGP Schlüssel
Operating System (OS),Noun,"A program that runs all the other programs on a computer. Windows, Android and Apple's OS X and iOS are all examples of operating systems. (Source: EFF)(Synonym: OS) [Signal]",
Optional Setup,Noun,,
Orbot,Noun,[Orbot] Name of application. Do not translate.,
Oudated,Adjective,,
Out-of-band verification,Noun,"""Out-of-band"" means any way of communicating outside of the current method. Verifying the identity of the person you're talking to over an insecure communication system often requires communicating out-of-band via another method that is less vulnerable to the same kind of attack. So, for instance, you might check that you are using someone's correct public key by talking to them in person, before using it to encrypt your email.
Synonyms: out-of-band
Source EFF.",
Outdated,Adjective,,
Overhead,Noun,,
Overlay network,Noun,,
Overview,Noun,[Globaleaks],Überblick
P.O. Box,Noun,,
PDF,Noun,,
PGP,Noun,"""Pretty Good Privacy"" PGP is a commercial software for cyphering",
PIN,Noun,Personal Identification Number [Signal],
PV,Noun,"[QubesOS] ""Paravirtualization""An efficient and lightweight virtualization technique originally introduced by the Xen Project and later adopted by other virtualization platforms.",
PVHVM,Noun,"[QubesOS] ""Paravirtualization on Hardware Virtual Machine""To boost performance, fully virtualized HVM guests can use special paravirtual device drivers (PVHVM or PV-on-HVM drivers).",
Padding,Noun,,
Page Report,Noun,Type of report generated by Martus - not one page of a report.,Seitenbericht
Pane,Noun,,
Panic,Noun,"Panic button, panic app",
Passive adversary,Noun,"A passive adversary is one that can listen to your communications, but cannot directly tamper with them.
Source EFF.",
Passphrase,Noun,,
Password manager,Noun,"A tool that can encrypt and store your passwords using a single master password making it practical to use many different passwords on different sites and services without having to memorize them.
Synonyms: Secure password database; password safe.
Source EFF.",
Password safe,Noun,"A tool that can encrypt and store your passwords using a single master password making it practical to use many different passwords on different sites and services without having to memorize them.
Synonyms: Secure password database, Password manager.
Source EFF.",
Passwords field,Noun,,
Passwords field ,Noun,,
Peer-to-Peer (P2P),Adjective,,Rechner-Rechner-Verbindung
Perfect forward secrecy,Noun,"A property of a secure messaging system which ensures that your past communications can remain secure even if one of the private keys is stolen later. For HTTPS websites, forward secrecy is an important protection against adversaries like intelligence agencies which may record large amounts of traffic and use a stolen key to decrypt it. For  messaging and chat systems, forward secrecy is necessary to ensure that deleted messages are really deleted, but you will also need to either disable logging or securely delete past messages.
Synonyms: Forward secrecy.
Source EFF.",
Permalink,Noun,,
Persistence wizard,Noun,,Permanentassistent
Persistent Storage,Noun,,
Personal information,Noun,,
Photo story,Noun,,
Phrases,Noun,,
Pie Chart,Noun,[Martus],
Piece,Noun,,
Plaintext,Noun,[Globaleaks] [Signal],Klartext
Plan,Noun,,
Plans,Noun,,
Platform,Noun,[Globaleaks],Plattform
Please,Adverb,,
Pledge,,,
Pluggable Transport,Noun,,austauschbare Übertragungsart
Pluggable Transports Bundle,Noun,,
Policy,Verb,,
Pool,Noun,,
Post,Noun,,
Post,Verb,,
Post-traumatic stress,Noun,,
Posted,Verb,,
Power Off,Verb,,Ausschalten
Powering,,,
Powering Digital Resistance,,,
Powering Digital Resisteance,,,
Preparation,Noun,,
Pretty Good Privacy,Noun,"PGP or Pretty Good Privacy was one of the first popular implementations of public key cryptography. Phil Zimmermann, its creator, wrote the program in 1991 to help activists and others protect their communications. He was formally investigated by the US government when the program spread outside the United States. At the time, exporting tools that included strong public key encryption was a violation of US law.
PGP continues to exist as a commercial software product. A free implementation of the same underlying standard that PGP uses called GnuPG (or GPG) is also available. Because both use the same interchangeable approach, people will refer to using a “PGP key” or sending a “PGP message”, even if they are using GnuPG. (Synonyms: PGP) (Source: EFF)",
Primary,Noun,,
Procedure,,,
Proceed,Verb,,
Projects,Noun,,
Promote,,,
Protect,,,
Protocol,Noun,"A communications protocol is a way of sending data between programs or computers. Software programs that use the same protocol can talk to each other: so web browsers and web servers speak the same protocol, called ""http"". Some protocols use encryption to protect their contents. The secure version of the http protocol is called ""https"". Another example of an encrypted protocol used by many different programs is OTR (Off-the-Record), a protocol for secure instant messaging.
Source EFF.",
Province,Adjective,,
Province,Noun,,"Status, Zustand, Staat"
ProxyVM,Noun,"[QubesOS] ""Proxy Virtual Machine""A type of VM which proxies network access for other VMs",
Pseudonym,Noun,"A name that you choose to use in some context (like an online forum) and that others may come to recognize, but that isn’t connected to names that people know you by in your day-to-day life.
Source EFF.",
PsiCash,Noun,[Psiphon],
